Company name,Main contact name,Main contact email,Main contact phone,Division,MOA workflow (from MOA setup),COSEC client?,Has Limit of Authority (LOA)?,LOA holder names (if Y),Invoice to,Bill to,Division MOI managers (auto),Notes
Acme Corp,Sarah Johnson,sarah.j@acme.com,+60 12-345 6789,LGB,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A2,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",Y,N,,Acme Corp,Acme Corp,"=IF($E2="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E2,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E2,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E2,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E2,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E2,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E2,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E2,Divisions!$A$3:$A$50,0)),""""),"""")))",Example — delete this row
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A3,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E3="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E3,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E3,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E3,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E3,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E3,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E3,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E3,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A4,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E4="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E4,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E4,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E4,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E4,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E4,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E4,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E4,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A5,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E5="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E5,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E5,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E5,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E5,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E5,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E5,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E5,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A6,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E6="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E6,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E6,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E6,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E6,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E6,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E6,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E6,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A7,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E7="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E7,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E7,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E7,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E7,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E7,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E7,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E7,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A8,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E8="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E8,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E8,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E8,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E8,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E8,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E8,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E8,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A9,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E9="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E9,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E9,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E9,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E9,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E9,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E9,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E9,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A10,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E10="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E10,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E10,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E10,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E10,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E10,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E10,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E10,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A11,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E11="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E11,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E11,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E11,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E11,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E11,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E11,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E11,Divisions!$A$3:$A$50,0)),""""),"""")))",
